Sample_ID	YieldPerPlant_BLUP	ScaleOfNeckBlastResistance_BLUP	ScaleOfNeckBlastResistance_BLUP_round	Subpopulation
D316	20.947330172285238	4.190136993759035	4	japonica
D3187	20.98165115246016	4.30502449113164	4	indica
D319	19.156712847084844	3.56087207219123	4	japonica
D3190	19.74394402681135	4.608311770331225	5	indica
D3193	19.830807973345657	4.184380570326333	4	indica
D3199	20.56478682497588	3.596895630016084	4	indica
D3200	21.70570326096245	4.1308992138823895	4	indica
D3237	20.20751998173474	4.305039203062506	4	indica
D3251	21.581733790489977	3.6850970798927603	4	indica
D3277	21.554614091830828	4.132784370265215	4	indica
D3282	20.547659692512312	3.8401131442830954	4	indica
D3297	20.676067511322774	4.020056673122786	4	indica
D3301	20.18760899942581	3.805834155122393	4	indica
D3420	21.333556290490357	3.921080446050367	4	indica
D3423	19.72157583171716	3.498060688210785	3	indica
D3434	21.03988702112239	4.537146863225579	5	indica
D3444	20.200688062794377	4.706106413749137	5	indica
D3445	19.746528870921306	4.506583904878708	5	indica
D3481	19.94086419202443	4.3641703214403655	4	indica
D3502	19.710485636129153	4.315905866412674	4	indica
D3523	20.594274419275777	3.975640466046243	4	indica
D3536	21.757596521922157	3.9715431932997713	4	indica
D3558	19.820352018701676	4.654233730849311	5	other
D3575	19.663308885446938	4.638692414879636	5	indica
D3583	19.79138892718934	4.761127893748976	5	indica
D3611	20.678563434812727	4.194863391790559	4	indica
D3782	19.674438783050903	4.000978152395509	4	indica
D3786	20.751648997450232	4.061057619592836	4	indica
D3860	20.793111483071954	4.0328427995566365	4	indica
D392	19.655088535956082	3.7073279488757787	4	japonica
D3963	21.560191258544087	4.090566011515918	4	indica
D3971	20.562179527665887	3.9533758610838228	4	indica
D3976	20.069734804496534	3.9962230280506965	4	indica
D515	19.678217265048797	3.9815773642860477	4	japonica
D6	18.87647549832837	4.314813442132301	4	japonica
D645	18.161162988154825	3.6609563232638207	4	japonica
D842	19.171842487359893	3.755457142918387	4	japonica
D921	19.67229685681183	4.28201763120888	4	japonica
D968	19.50072481790549	3.6543441981280154	4	japonica
